T22,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
51,Armenia,2015,Major trading partner 2 (% of exports),Russian Federation,,15.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
51,Armenia,2020,Major trading partner 2 (% of exports),Russian Federation,,26.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
51,Armenia,2024,Major trading partner 2 (% of exports),Russian Federation,,23.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
51,Armenia,2015,Major trading partner 2 (% of imports),China,,9.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
51,Armenia,2020,Major trading partner 2 (% of imports),China,,14.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
51,Armenia,2024,Major trading partner 2 (% of imports),China,,9.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
51,Armenia,2015,Major trading partner 3 (% of exports),"China, Hong Kong SAR",,0.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
51,Armenia,2020,Major trading partner 3 (% of exports),"China, Hong Kong SAR",,0.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
51,Armenia,2024,Major trading partner 3 (% of exports),"China, Hong Kong SAR",,13.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
51,Armenia,2015,Major trading partner 3 (% of imports),Viet Nam,,0.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
51,Armenia,2020,Major trading partner 3 (% of imports),Viet Nam,,0.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
51,Armenia,2024,Major trading partner 3 (% of imports),Viet Nam,,5.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
533,Aruba,2015,Major trading partner 1 (% of exports),Colombia,,27.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
533,Aruba,2020,Major trading partner 1 (% of exports),Colombia,,14.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
533,Aruba,2024,Major trading partner 1 (% of exports),Colombia,,46.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
533,Aruba,2015,Major trading partner 1 (% of imports),United States,,54.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
533,Aruba,2020,Major trading partner 1 (% of imports),United States,,52.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
533,Aruba,2024,Major trading partner 1 (% of imports),United States,,50.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
533,Aruba,2015,Major trading partner 2 (% of exports),Areas nes,Areas not elsewhere specified.,14.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
533,Aruba,2020,Major trading partner 2 (% of exports),Areas nes,Areas not elsewhere specified.,4.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
533,Aruba,2024,Major trading partner 2 (% of exports),Areas nes,Areas not elsewhere specified.,30.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
533,Aruba,2015,Major trading partner 2 (% of imports),Areas nes,Areas not elsewhere specified.,13.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
533,Aruba,2020,Major trading partner 2 (% of imports),Areas nes,Areas not elsewhere specified.,12.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
533,Aruba,2024,Major trading partner 2 (% of imports),Areas nes,Areas not elsewhere specified.,22.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
533,Aruba,2015,Major trading partner 3 (% of exports),United States,,6.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
533,Aruba,2020,Major trading partner 3 (% of exports),United States,,29.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
533,Aruba,2024,Major trading partner 3 (% of exports),United States,,15.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
533,Aruba,2015,Major trading partner 3 (% of imports),Netherlands,,10.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
533,Aruba,2020,Major trading partner 3 (% of imports),Netherlands,,16.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
533,Aruba,2024,Major trading partner 3 (% of imports),Netherlands,,12.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
36,Australia,2015,Major trading partner 1 (% of exports),China,,31.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
